time,jogos_casa,jogos_fora,pontos_casa,pontos_fora,saldo_casa,saldo_fora,chutes_alvo_casa,chutes_alvo_fora,escanteios_casa,escanteios_fora,dif_pontos,dif_saldo,ganho_relativo,n_temporadas,amostra_suficiente,big_six
Stoke,57,57,1.3157894736842106,0.9298245614035088,-0.21052631578947367,-0.8771929824561403,3.6491228070175437,3.3333333333333335,4.754385964912281,3.6140350877192984,0.38596491228070184,0.6666666666666666,0.18644067796610173,3,True,False
Watford,114,114,1.2105263157894737,0.8333333333333334,-0.37719298245614036,-0.8157894736842105,3.8157894736842106,3.289473684210526,4.649122807017544,4.298245614035087,0.3771929824561403,0.43859649122807015,0.1740890688259109,6,True,False
Leicester,171,171,1.5380116959064327,1.1695906432748537,0.23391812865497075,-0.23976608187134502,4.426900584795321,4.140350877192983,5.2105263157894735,4.754385964912281,0.368421052631579,0.47368421052631576,0.2012779552715655,9,True,False
Fulham,114,114,1.3157894736842106,0.956140350877193,-0.14912280701754385,-0.5614035087719298,4.245614035087719,3.8508771929824563,5.394736842105263,4.385964912280702,0.35964912280701766,0.4122807017543859,0.17596566523605156,6,True,False
Man City,209,209,2.4066985645933014,2.047846889952153,1.8181818181818181,1.0813397129186604,6.6650717703349285,5.7894736842105265,7.7368421052631575,6.578947368421052,0.3588516746411483,0.7368421052631577,0.3768844221105528,11,True,True
Leeds,76,76,1.3289473684210527,0.9736842105263158,-0.19736842105263158,-0.6710526315789473,4.5394736842105265,4.0,5.671052631578948,4.473684210526316,0.35526315789473684,0.47368421052631576,0.17532467532467533,4,True,False
West Ham,209,209,1.4545454545454546,1.105263157894737,0.019138755980861243,-0.3875598086124402,4.23444976076555,3.8086124401913874,5.157894736842105,4.454545454545454,0.34928229665071764,0.40669856459330145,0.1843434343434343,11,True,False
Brighton,171,171,1.4385964912280702,1.0935672514619883,0.07017543859649122,-0.3216374269005848,4.543859649122807,4.046783625730995,5.771929824561403,4.350877192982456,0.3450292397660819,0.391812865497076,0.18098159509202455,9,True,False
Bournemouth,171,171,1.3742690058479532,1.0292397660818713,-0.029239766081871343,-0.672514619883041,4.43859649122807,4.005847953216374,5.7894736842105265,4.947368421052632,0.3450292397660819,0.6432748538011697,0.17507418397626115,9,True,False
Wolves,152,152,1.355263157894737,1.019736842105263,-0.125,-0.5789473684210527,4.1118421052631575,3.473684210526316,4.8618421052631575,4.269736842105263,0.3355263157894739,0.45394736842105265,0.16943521594684396,8,True,False
